"Forecast_Period","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95","Key1"
"2024 Q1",1110.53837835299,979.88402216443,1241.19273454154,910.719783894778,1310.35697281119,"2024-11-05_ALandbouwBosbouwEnVisserij_150"
"2024 Q2",2510.59301015125,2371.97511759024,2649.21090271226,2298.59523781272,2722.59078248978,"2024-11-05_ALandbouwBosbouwEnVisserij_20"
"2024 Q2",386.049071768541,317.16782725764,454.930316279441,280.704299009209,491.393844527873,"2024-11-05_BDelfstoffenwinning_22"
"2024 Q1",34902.0969945841,28668.4249523432,41135.769036825,25368.5183055093,44435.6756836588,"2024-11-05_BedrijvenEnHuishoudens_12"
"2024 Q2",22730.0763496392,21989.2173490712,23470.9353502072,21597.0302844045,23863.1224148739,"2024-11-05_BelastingenOpProductieEnInvoer_67"
"2024 Q1",5274.67998369382,4284.27240415849,6265.08756322915,3759.98230152928,6789.37766585836,"2024-11-05_BetaaldeInkomensoverdrachtenBuitenland_79"
"2024 Q1",71869.8344226168,61491.3940590541,82248.2747861795,55997.3795989707,87742.289246263,"2024-11-05_BetaaldePrimaireInkomensBuitenland_75"
"2024 Q1",7745.2006782999,7033.36732541176,8457.03403118804,6656.54551048209,8833.85584611772,"2024-11-05_BFNijverheidEnEnergie_151"
"2024 Q2",88887.7998875822,86592.1397041742,91183.4600709903,85376.8906107399,92398.7091644246,"2024-11-05_BinnenlandsConsumptieHuishoudens_121"
"2024 Q1",5816.85373255987,5614.57466573735,6019.13279938238,5507.49459598075,6126.21286913899,"2024-11-05_BrandstoffenEnOverigeGoederen_112"
"2024 Q1",198544.905953057,192204.680633092,204885.131273022,188848.368088254,208241.443817859,"2024-11-05_BrutoBeschikbaarNationaalInkomen_80"
"2024 Q2",205939.134984615,201922.744143265,209955.525825964,199796.595262823,212081.674706406,"2024-11-05_BrutoBinnenlandsProduct_2"
"2024 Q2",205939.134984615,201922.744143265,209955.525825964,199796.595262823,212081.674706406,"2024-11-05_BrutoBinnenlandsProduct_63"
"2024 Q2",205939.134984615,201922.744143265,209955.525825964,199796.595262823,212081.674706406,"2024-11-05_BrutoBinnenlandsProduct_71"
"2024 Q2",205939.134984615,201922.744143265,209955.525825964,199796.595262823,212081.674706406,"2024-11-05_BrutoBinnenlandsProduct_72"
"2024 Q2",44614.4235909299,37101.7700851505,52127.0770967093,33124.8115491398,56104.03563272,"2024-11-05_BrutoInvesteringen_84"
"2024 Q1",199685.457433807,193486.474343283,205884.440524331,190204.93091825,209165.983949365,"2024-11-05_BrutoNationaalInkomen_76"
"2024 Q1",62170.3168045496,55706.1628045528,68634.4708045464,52284.2463793379,72056.3872297613,"2024-11-05_BrutoNationaleBesparingen_83"
"2024 Q2",-570.663684311608,-610.168333017488,-531.159035605728,-631.080830813651,-510.246537809565,"2024-11-05_CifFobCorrectie_171"
"2024 Q2",-570.663684311608,-610.168333017488,-531.159035605728,-631.080830813651,-510.246537809565,"2024-11-05_CifFobCorrectie_178"
"2024 Q2",-570.663684311608,-610.168333017488,-531.159035605728,-631.080830813651,-510.246537809565,"2024-11-05_CifFobCorrectie_195"
"2024 Q2",-1429.28539992075,-1547.47803874649,-1311.092761095,-1610.045442329,-1248.52535751249,"2024-11-05_CifFobCorrectieEnHerclassificatie_198"
"2024 Q2",857.574757114523,769.021432806232,946.128081422813,722.144134561469,993.005379667576,"2024-11-05_CifFobHerclassificatie_201"
"2024 Q2",17661.3120076035,17189.7315967523,18132.8924184546,16940.0920068381,18382.5320083688,"2024-11-05_CollectieveConsumptieOverheid_126"
"2024 Q2",6989.92668275395,5657.10621790818,8322.74714759971,4951.55368303346,9028.29968247443,"2024-11-05_ComputerprogrammatuurEnDatabanken_144"
"2024 Q2",1045.13547375236,856.734781847029,1233.53616565768,757.001479986799,1333.26946751791,"2024-11-05_Computers_139"
"2024 Q2",2706.38425619734,2061.00236191626,3351.76615047842,1719.35782427408,3693.4106881206,"2024-11-05_ConsumptieIngezetenenInHetBuitenland_122"
"2024 Q2",2706.38425619734,2061.00236191626,3351.76615047842,1719.35782427408,3693.4106881206,"2024-11-05_ConsumptieIngezetenenInHetBuitenland_194"
"2024 Q2",3947.7968552179,3255.58152828166,4640.01218215414,2889.14486897097,5006.44884146483,"2024-11-05_ConsumptieNietIngezetenenInNederland_123"
"2024 Q2",3947.7968552179,3255.58152828166,4640.01218215414,2889.14486897097,5006.44884146483,"2024-11-05_ConsumptieNietIngezetenenInNederland_170"
"2024 Q2",3947.7968552179,3255.58152828166,4640.01218215414,2889.14486897097,5006.44884146483,"2024-11-05_ConsumptieNietIngezetenenInNederland_176"
"2024 Q2",142333.572271955,139758.638099789,144908.50644412,138395.55028697,146271.59425694,"2024-11-05_ConsumptieveBestedingen_81"
"2024 Q2",2759.87173956941,2586.8705227569,2932.87295638192,2495.28921058625,3024.45426855257,"2024-11-05_DEnergievoorziening_35"
"2024 Q2",45757.2067899123,43138.2317627971,48376.1818170274,41751.8301296496,49762.583450175,"2024-11-05_Diensten_17"
"2024 Q2",39085.0577841666,33234.8513005314,44935.2642678017,30137.9390584561,48032.176509877,"2024-11-05_Diensten_5"
"2024 Q1",2362.28189836626,2277.49496412927,2447.06883260326,2232.61147235148,2491.95232438105,"2024-11-05_DrankenEnTabak_102"
"2024 Q1",2985.07137261444,2790.4153278403,3179.72741738859,2687.37064219693,3282.77210303196,"2024-11-05_ElektrischeApparatuur_107"
"2024 Q1",3006.14798993749,2712.58662662291,3299.70935325208,2557.184628011,3455.11135186399,"2024-11-05_EnergieEnWater_111"
"2024 Q2",1051.08936855546,1003.38686979992,1098.791867311,978.134692327751,1124.04404478317,"2024-11-05_EWaterbedrijvenEnAfvalbeheer_36"
"2024 Q2",9642.42874363701,9025.83143500893,10259.0260522651,8699.42453657507,10585.432950699,"2024-11-05_FBouwnijverheid_37"
"2024 Q1",6787.13425384532,6617.34081639881,6956.92769129184,6527.45760005028,7046.81090764037,"2024-11-05_FinancieleEnZakelijkeDiensten_119"
"2024 Q2",6912.44804285418,6384.122951915,7440.77313379337,6104.44454287046,7720.4515428379,"2024-11-05_Gebouwen_134"
"2024 Q1",25337.9019414635,24591.8800188061,26083.9238641209,24196.9598682786,26478.8440146484,"2024-11-05_GHandel_40"
